city,location,price_text,price_pkr,bedrooms,bathrooms,size_text,size_sqft,property_type,built_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms
Islamabad,"Islamabad Expressway, Islamabad",1.72 Crore,17200000,2.0,,4.9 Marla,1102,Flat,,,,,,
Islamabad,"DHA Defence Phase 2, DHA Defence",12 Crore,120000000,6.0,7.0,1 Kanal,4500,House,2026.0,2.0,2.0,1.0,2.0,
Islamabad,"Arsalan Town, Islamabad",2.9 Crore,29000000,8.0,7.0,8 Marla,1800,House,,,1.0,1.0,3.0,
Islamabad,"Top City 1, Islamabad",13.5 Crore,135000000,10.0,,1.4 Kanal,6300,House,2026.0,,1.0,,3.0,1.0
Islamabad,"Top City 1, Islamabad",10.5 Crore,105000000,6.0,6.0,1 Kanal,4500,House,2026.0,4.0,1.0,1.0,2.0,
Islamabad,"F-11/4, F-11",18 Crore,180000000,5.0,5.0,1 Kanal,4500,House,,,,,,
Islamabad,"F-11, Islamabad",9.85 Crore,98500000,7.0,5.0,10 Marla,2250,House,,,,1.0,3.0,
Islamabad,"Zaraj Housing Scheme, Islamabad",5.9 Crore,59000000,5.0,6.0,12 Marla,2700,House,2025.0,3.0,2.0,1.0,2.0,
Islamabad,"Soan Garden, Islamabad",4 Crore,40000000,4.0,4.0,15 Marla,3375,House,2024.0,2.0,,2.0,1.0,
Islamabad,"I-12/1, I-12",58.5 Lakh,5850000,2.0,2.0,3.2 Marla,720,Flat,2026.0,,,,1.0,
Islamabad,"I-12/1, I-12",58 Lakh,5800000,2.0,2.0,3.2 Marla,720,Flat,2026.0,,,1.0,1.0,
Islamabad,"I-12/1, I-12",77 Lakh,7700000,2.0,2.0,3.9 Marla,878,Flat,2026.0,,,1.0,1.0,
Islamabad,"I-12/1, I-12",82 Lakh,8200000,2.0,2.0,3.9 Marla,878,Flat,2026.0,,1.0,1.0,1.0,
Islamabad,"I-12/1, I-12",68 Lakh,6800000,2.0,2.0,3.2 Marla,720,Flat,2026.0,,,1.0,1.0,
Islamabad,"Soan Garden - Block H, Soan Garden",2.65 Crore,26500000,4.0,5.0,6 Marla,1350,House,2022.0,2.0,,,2.0,
Islamabad,"G-13/4, G-13",9.4 Crore,94000000,7.0,7.0,10 Marla,2250,House,,,,,1.0,
Islamabad,"Bahria Enclave, Bahria Town",2.75 Crore,27500000,3.0,4.0,5 Marla,1125,House,2024.0,1.0,1.0,1.0,1.0,
Islamabad,"DHA Defence Phase 2, DHA Defence",13.85 Crore,138500000,5.0,5.0,1 Kanal,4500,House,2026.0,3.0,,,2.0,
Islamabad,"Top City 1, Islamabad",3.8 Crore,38000000,5.0,6.0,10 Marla,2250,House,2024.0,,,,1.0,
Islamabad,"J7 Emporium, B-17",1.21 Crore,12100000,,1.0,3.3 Marla,742,Flat,2026.0,1.0,1.0,1.0,1.0,
Islamabad,"DHA Defence Phase 2, DHA Defence",15.8 Crore,158000000,5.0,6.0,1 Kanal,4500,House,2026.0,4.0,,2.0,2.0,
